NO,Tanggal,Kurs,Return
497,18/01/2018,13365,0.003147485
498,19/01/2018,13331,-0.002547199
499,22/01/2018,13334,0.000225014
500,23/01/2018,13318,-0.001200661
501,24/01/2018,13321,0.000225234
502,25/01/2018,13290,-0.002329865
503,26/01/2018,13303,0.000977701
504,29/01/2018,13327,0.001802479
505,30/01/2018,13398,0.005313389
506,31/01/2018,13413,0.001118944
507,01/02/2018,13402,-0.000820436
508,02/02/2018,13428,0.00193813
509,05/02/2018,13498,0.005199447
510,06/02/2018,13578,0.00590931
511,07/02/2018,13533,-0.003319689
512,08/02/2018,13602,0.005085694
513,09/02/2018,13643,0.003009729
514,12/02/2018,13609,-0.002495231
515,13/02/2018,13644,0.002568526
516,14/02/2018,13657,0.000952346
517,15/02/2018,13570,-0.006390737
518,19/02/2018,13541,-0.002139354
519,20/02/2018,13573,0.002360405
520,21/02/2018,13582,0.000662861
521,22/02/2018,13665,0.006092433
522,23/02/2018,13670,0.000365831
523,26/02/2018,13659,-0.000805006
524,27/02/2018,13650,-0.000659123
525,28/02/2018,13707,0.00416713
526,01/03/2018,13793,0.006254566
527,02/03/2018,13746,-0.003413344
528,05/03/2018,13740,-0.000436586
529,06/03/2018,13750,0.000727537
530,07/03/2018,13763,0.000945008
531,08/03/2018,13774,0.000798925
532,09/03/2018,13794,0.001450958
533,12/03/2018,13768,-0.001886656
534,13/03/2018,13757,-0.000799273
535,14/03/2018,13739,-0.001309282
536,15/03/2018,13748,0.000654855
537,16/03/2018,13765,0.00123578
538,19/03/2018,13765,0
539,20/03/2018,13761,-0.000290634
540,21/03/2018,13759,-0.000145349
541,22/03/2018,13737,-0.001600233
542,23/03/2018,13780,0.003125343
543,26/03/2018,13776,-0.000290318
544,27/03/2018,13708,-0.004948344
545,28/03/2018,13745,0.002695518
546,29/03/2018,13756,0.000799971
547,02/04/2018,13750,-0.000436268
548,03/04/2018,13765,0.001090314
549,04/04/2018,13760,-0.000363306
550,05/04/2018,13767,0.000508592
551,06/04/2018,13771,0.000290508
552,09/04/2018,13771,0
553,10/04/2018,13759,-0.000871776
554,11/04/2018,13747,-0.000872537
555,12/04/2018,13763,0.001163214
556,13/04/2018,13753,-0.00072685
557,16/04/2018,13766,0.000944802
558,17/04/2018,13770,0.000290529
559,18/04/2018,13770,0
560,19/04/2018,13778,0.000580804
561,20/04/2018,13804,0.001885288
562,23/04/2018,13894,0.006498687
563,24/04/2018,13900,0.000431748
564,25/04/2018,13888,-0.000863682
565,26/04/2018,13930,0.00301963
566,27/04/2018,13879,-0.003667881
567,30/04/2018,13877,-0.000144113
568,02/05/2018,13936,0.004242627
569,03/05/2018,13965,0.002078779
570,04/05/2018,13943,-0.001576609
571,07/05/2018,13956,0.000931933
572,08/05/2018,14036,0.005715934
573,09/05/2018,14074,0.002703666
574,11/05/2018,14048,-0.001849087
575,14/05/2018,13976,-0.005138464
576,15/05/2018,14020,0.003143309
577,16/05/2018,14094,0.005264293
578,17/05/2018,14074,-0.001420051
579,18/05/2018,14107,0.002342005
580,21/05/2018,14176,0.004879266
581,22/05/2018,14178,0.000141074
582,23/05/2018,14192,0.000986958
583,24/05/2018,14205,0.00091559
584,25/05/2018,14166,-0.002749288
585,28/05/2018,14065,-0.007155285
586,30/05/2018,14032,-0.002349006
587,31/05/2018,13951,-0.005789245
588,04/06/2018,13872,-0.00567877
589,05/06/2018,13887,0.001080731
590,06/06/2018,13875,-0.000864491
591,07/06/2018,13868,-0.000504632
592,08/06/2018,13902,0.002448687
593,21/06/2018,14090,0.013432611
594,22/06/2018,14102,0.000851305
595,25/06/2018,14105,0.000212713
596,26/06/2018,14163,0.004103586
597,28/06/2018,14271,0.007596576
598,29/06/2018,14404,0.00927644
599,02/07/2018,14331,-0.005080923
600,03/07/2018,14418,0.006052403
601,04/07/2018,14343,-0.005215408
602,05/07/2018,14387,0.003063003
603,06/07/2018,14409,0.00152799
604,09/07/2018,14332,-0.005358212
605,10/07/2018,14326,-0.000418731
606,11/07/2018,14391,0.004526943
607,12/07/2018,14435,0.003052802
608,13/07/2018,14358,-0.005348535
609,16/07/2018,14396,0.002643112
610,17/07/2018,14391,-0.000347379
611,18/07/2018,14406,0.001041775
612,19/07/2018,14418,0.00083264
613,20/07/2018,14520,0.007049583
614,23/07/2018,14454,-0.004555817
615,24/07/2018,14541,0.006001053
616,25/07/2018,14515,-0.001789648
617,26/07/2018,14443,-0.004972729
618,27/07/2018,14483,0.00276568
619,30/07/2018,14409,-0.005122536
620,31/07/2018,14413,0.000277566
621,01/08/2018,14442,0.002010051
622,02/08/2018,14446,0.000276932
623,03/08/2018,14503,0.003937965
624,06/08/2018,14481,-0.001518079
625,07/08/2018,14485,0.000276186
626,08/08/2018,14439,-0.003180752
627,09/08/2018,14422,-0.00117806
628,10/08/2018,14437,0.001039537
629,13/08/2018,14583,0.010062111
630,14/08/2018,14625,0.002875926
631,15/08/2018,14621,-0.000273542
632,16/08/2018,14619,-0.000136799
633,20/08/2018,14578,-0.00280851
634,21/08/2018,14568,-0.000686201
635,23/08/2018,14620,0.003563112
636,24/08/2018,14655,0.00239112
637,27/08/2018,14610,-0.003075348
638,28/08/2018,14614,0.000273748
639,29/08/2018,14643,0.001982432
640,30/08/2018,14655,0.000819169
641,31/08/2018,14711,0.003813939
642,03/09/2018,14767,0.003799448
643,04/09/2018,14840,0.004931276
644,05/09/2018,14927,0.005845416
645,06/09/2018,14891,-0.00241465
646,07/09/2018,14884,-0.000470193
647,10/09/2018,14835,-0.003297557
648,12/09/2018,14863,0.001885649
649,13/09/2018,14794,-0.00465321
650,14/09/2018,14835,0.002767561
651,17/09/2018,14859,0.001616489
652,18/09/2018,14908,0.003292239
653,19/09/2018,14896,-0.000805261
654,20/09/2018,14839,-0.003833871
655,21/09/2018,14824,-0.001011361
656,24/09/2018,14865,0.002761967
657,25/09/2018,14893,0.001881847
658,26/09/2018,14938,0.003016998
659,27/09/2018,14919,-0.001272734
660,28/09/2018,14929,0.000670062
661,01/10/2018,14905,-0.001608903
662,02/10/2018,14988,0.005553154
663,03/10/2018,15088,0.006649845
664,04/10/2018,15133,0.002978064
665,05/10/2018,15182,0.003232726
666,08/10/2018,15193,0.00072428
667,09/10/2018,15233,0.002629332
668,10/10/2018,15215,-0.001182344
669,11/10/2018,15253,0.002494422
670,12/10/2018,15194,-0.003875592
671,15/10/2018,15246,0.00341656
672,16/10/2018,15206,-0.002627087
673,17/10/2018,15178,-0.001843076
674,18/10/2018,15187,0.000592788
675,19/10/2018,15221,0.002236255
676,22/10/2018,15192,-0.00190708
677,23/10/2018,15208,0.001052632
678,24/10/2018,15193,-0.00098681
679,25/10/2018,15210,0.001118311
680,26/10/2018,15207,-0.000197258
681,29/10/2018,15218,0.00072309
682,30/10/2018,15237,0.001247743
683,31/10/2018,15227,-0.000656513
684,01/11/2018,15195,-0.002103741
685,02/11/2018,15089,-0.007000425
686,05/11/2018,14972,-0.007784211
687,06/11/2018,14891,-0.005424786
688,07/11/2018,14764,-0.008565218
689,08/11/2018,14651,-0.007683193
690,09/11/2018,14632,-0.001297681
691,12/11/2018,14747,0.007828761
692,13/11/2018,14895,0.009985914
693,14/11/2018,14755,-0.009443578
694,15/11/2018,14764,0.000609777
695,16/11/2018,14594,-0.0115813
696,19/11/2018,14586,-0.000548321
697,21/11/2018,14618,0.002191481
698,22/11/2018,14592,-0.001780213
699,23/11/2018,14552,-0.002744992
700,26/11/2018,14551,-6.87214E-05
701,27/11/2018,14504,-0.003235246
702,28/11/2018,14535,0.002135061
703,29/11/2018,14408,-0.008775926
